Job_Number,Jobs_Gross_Margin_Percentage,Jobs_Gross_Margin,Labor_Pay,Labor_Burden,Material_Costs,PO_Costs,Labor,Equipment_Costs,Jobs_Total,Materials__Equip__POs_As_percent_of_Sales,Labor_Burden_as_percent_of_Sales,Labor_Pay_as_percent_of_Sales,Sold_Hours,Total_Hours_Worked,Total_Technician_Paid_Time,NonBillable_Hours,Jobs_Total_Costs,Is_Lead,Opportunity,Warranty,Recall,Converted,Jobs_Subtotal,Pricebook_Price,Income,Estimates,Jobs_Estimate_Sales_Subtotal,Jobs_Estimate_Sales_Installed,Materials__Equipment__PO_Costs,Lead Generated From Source
21-0164475,0.3535,371.98,467.07,58.43,8.63,146.12,1052.23,0,1052.23,0,0,0,0,11.51,11.52,11.52,680.25,0,1,0,0,1,1052.23,0,1052.23,0,0,0,154.75,Marketed Lead
21-0165779,0.8254,296.31,47.98,14.71,0,0,359,0,359,0,0,0,0.5,0.72,1.25,0.22,62.69,0,1,0,0,1,359,553,359,1,0,0,0,Marketed Lead
21-0165815,0.6464,138.34,51.18,24.48,0,0,214,0,214,0,11.44,23.92,0.25,1.18,1.28,0.93,75.66,0,1,0,0,1,214,322.01,214,5,214,214,0,Marketed Lead
21-0166065,0.8366,568.07,72.28,38.65,0,0,679,0,679,0,0,0,1,1.88,2.82,0.88,110.93,0,1,0,0,1,679,912.12,679,3,0,0,0,Marketed Lead
21-0166147,0.1625,7.96,34.54,6.5,0,0,49,0,49,0,0,0,0,0.32,0.9,0.32,41.04,0,1,0,0,0,49,99,49,0,0,0,0,Marketed Lead
21-0166158,0.6302,1971.88,181.67,97.13,91.54,0,3178.8,786.58,3128.8,0,0,0,2,4.73,5.93,2.73,1156.92,0,1,0,0,1,3128.8,3748,3128.8,1,0,0,878.12,Marketed Lead
21-0166183,0.5867,126.72,62.37,26.91,0,0,216,0,216,0,0,0,0.75,1.3,1.68,0.55,89.28,0,1,0,0,1,216,490,216,0,0,0,0,Marketed Lead
27208207,0,-38.52,25.06,13.46,0,0,0,0,0,0,0,0,0,0.65,0.65,0.65,38.52,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
21-0165748,0.6718,1396,182.3,81.4,43.4,0,2078.1,375,2078.1,0,0,0,2,3.97,4.75,1.97,682.1,0,1,0,0,1,2078.1,2622,2078.1,2,0,0,418.4,Marketed Lead
21-0165980,0.419,20.53,18.55,9.92,0,0,49,0,49,0,0,0,0,0.48,0.48,0.48,28.47,0,1,0,0,0,49,99,49,0,0,0,0,Marketed Lead
27236669,0.2017,9.88,32.62,6.5,0,0,49,0,49,0,0,0,0,0.32,0.85,0.32,39.12,0,1,0,0,0,49,99,49,0,0,0,0,Marketed Lead
27236687,0,-98.21,97.87,0.34,0,0,0,0,0,0,0,0,0,0.02,2.55,0.02,98.21,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
27237980,0.9053,599.35,24.59,12.76,25.37,0,662.06,0,662.06,0,0,0,0.5,0.62,0.62,0.12,62.71,0,1,0,0,1,662.06,454,662.06,0,0,0,25.37,Marketed Lead
39519647,0.7159,4346.79,234.76,120.56,318.77,0,6071.4,1050.52,6071.4,19.98,1.76,3.43,5,5.87,6.12,0.87,1724.61,0,1,0,0,1,6071.4,7582.28,6071.4,3,6854,0,1369.29,Marketed Lead
39521069,0.7114,152.23,46.7,15.07,0,0,214,0,214,0,7.04,21.82,0.25,0.73,1.22,0.48,61.77,0,1,0,0,1,214,322.01,214,2,214,214,0,Marketed Lead
39522587,0.5855,274.6,122.71,42.09,29.6,0,519,0,469,12.33,17.54,51.13,1.75,2.03,3.18,0.28,194.4,0,1,0,0,1,469,787.55,469,1,240,0,29.6,Marketed Lead
43497822,0,-127.34,117.34,10,0,0,199,0,199,0,0,0,0,2.05,4.42,2.05,127.34,0,1,0,0,1,199,0,0,3,0,0,0,Marketed Lead
43500055,0.7898,989.13,164.4,72.85,26,0,1252.38,0,1252.38,0,0,0,2.75,3.55,4.28,0.8,263.25,0,1,0,0,1,1252.38,1900.27,1252.38,2,0,0,26,Marketed Lead
43513641,0,-57.22,42.86,14.36,0,0,0,0,0,0,4.55,13.56,0.5,0.7,1.12,0.2,57.22,0,1,0,0,0,0,260,0,1,316,316,0,Marketed Lead
43529242,0,-41.82,41.49,0.33,0,0,0,0,0,0,0,0,0,0.02,1.4,0.02,41.82,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
21-0166116,0.7387,1163.27,159.91,77.41,0,174.21,1574.8,0,1574.8,0,0,0,0,3.77,4.17,3.77,411.53,0,1,0,0,1,1574.8,0,1574.8,2,0,0,174.21,Marketed Lead
21-0166125,0.7814,1356.59,119.05,70,0,190.36,1736,0,1736,0,0,0,0,3.5,4.02,3.5,379.41,0,1,0,0,1,1736,1002,1736,0,0,0,190.36,Marketed Lead
21-0166159,0.5582,55.82,28.79,15.39,0,0,100,0,100,0,0,0,0,0.75,0.75,0.75,44.18,0,1,0,0,1,100,0,100,3,0,0,0,Marketed Lead
27208165,0.8447,1686.8,131.07,70.38,108.75,0,2047,0,1997,0,0,0,3.25,3.4,3.4,0.15,310.2,0,1,0,0,1,1997,2531.54,1997,0,0,0,108.75,Marketed Lead
27339198,0,-83.39,60.13,23.26,0,0,0,0,0,0,0,0,0,1.13,1.57,1.13,83.39,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
27339459,0.7448,501.28,111.3,46.85,13.57,0,673,0,673,0,0,0,0.75,2.28,2.9,1.53,171.72,0,1,0,0,1,673,341.11,673,0,0,0,13.57,Marketed Lead
27447757,0.3121,31.21,48.61,20.18,0,0,100,0,100,0,0.58,1.4,0,1.12,1.5,1.12,68.79,0,1,0,0,1,100,0,100,1,3464,0,0,Marketed Lead
29954995,0.6494,257.73,83.16,42.07,13.94,0,396.9,0,396.9,1.43,4.33,8.56,0.75,2.05,2.17,1.3,139.17,0,1,0,0,1,396.9,601.75,396.9,2,971.9,396.9,13.94,Marketed Lead
30331827,0.838,961.6,119.62,54.38,11.9,0,1147.5,0,1147.5,0.91,4.14,9.11,2,2.65,3.12,0.65,185.9,0,1,0,0,1,1147.5,1905.16,1147.5,1,1312.6,1263.6,11.9,Marketed Lead
39522647,0.1568,30.5,99.78,36.65,27.6,0,194.52,0,194.52,6.17,8.2,22.32,0.75,1.78,2.6,1.03,164.02,0,1,0,0,1,194.52,337.68,194.52,1,447,447,27.6,Marketed Lead
43500956,-0.4369,-21.41,55.02,15.39,0,0,49,0,49,0,0,0,0,0.75,1.43,0.75,70.41,0,1,0,0,0,49,99,49,0,0,0,0,Marketed Lead
43528625,0.6922,319.06,90.19,31.46,16.21,3.98,460.9,0,460.9,2.22,3.45,9.9,1,1.53,2.35,0.53,141.84,0,1,0,0,1,460.9,224.01,460.9,2,910.9,460.9,20.19,Marketed Lead
43531182,0,-12.04,8.96,3.08,0,0,0,0,0,0,0,0,0,0.15,0.23,0.15,12.04,0,0,1,0,0,0,0,0,1,0,0,0,Marketed Lead
43964427,0,-145.53,135.61,9.92,0,0,0,0,0,0,0,0,0,0.48,1.77,0.48,145.53,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
43969189,0.7317,530.13,95.95,48.56,49.86,0,824.5,0,724.5,2.37,2.31,4.56,1.25,2.37,2.5,1.12,194.37,0,1,0,0,1,724.5,1088.13,724.5,3,2104.5,724.5,49.86,Marketed Lead
43970718,0,-219.96,159.93,60.03,0,0,0,0,0,0,0,0,0,2.9,3.55,2.9,219.96,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
43978381,0,-395.76,0,127.99,0,267.77,0,0,0,0,0,0,0,6.18,7.5,6.18,395.76,0,0,1,0,0,0,0,0,0,0,0,267.77,Marketed Lead
43986573,0.77,656.94,104.91,42.75,48.6,0,853.2,0,853.2,5.7,5.01,12.3,2.5,2.08,2.73,-0.42,196.26,0,1,0,0,1,853.2,1115.69,853.2,1,853.2,853.2,48.6,Marketed Lead
43955595,0.5464,2230.43,278.25,121.59,273.12,38.61,4082,1140,4082,35.56,2.98,6.82,3.25,5.92,7.25,2.67,1851.57,0,1,0,0,1,4082,5694,4082,1,4082,0,1451.73,Marketed Lead
43976119,0,-107.56,70.03,37.53,-288.35,288.35,0,0,0,0,0,0,0,1.8,1.82,1.8,107.56,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
43976519,0.3008,14.74,28.78,5.48,0,0,49,0,49,0,0,0,0,0.27,0.75,0.27,34.26,0,1,0,0,0,49,99,49,1,0,0,0,Marketed Lead
43984943,0.8066,172.61,34.54,6.85,0,0,214,0,214,0,3.2,16.14,0.25,0.33,0.9,0.08,41.39,0,1,0,0,1,214,322.01,214,2,214,214,0,Marketed Lead
43985184,0.7106,434.33,110.67,46.17,20.08,0,611.25,0,611.25,3.29,7.55,18.11,1.75,2.25,2.88,0.5,176.92,0,1,0,0,1,611.25,947.6,611.25,3,611.25,611.25,20.08,Marketed Lead
21-0165924,0,-68.91,51.81,17.1,0,0,0,0,0,0,0,0,0,0.83,1.35,0.83,68.91,0,0,1,0,0,0,0,0,1,0,0,0,Marketed Lead
43987723,0.7253,2012.54,247.56,117.99,366.85,29.66,2774.6,0,2774.6,14.29,4.25,8.92,4,5.75,6.45,1.7,762.06,0,1,0,0,1,2774.6,4573.21,2774.6,3,2774.6,0,396.51,Marketed Lead
44294935,0,-39.48,33.96,5.52,0,0,0,0,0,0,0,0,0,0.27,0.92,0.27,39.48,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
44299411,0.7599,252.29,58.85,20.86,0,0,332,0,332,0,0,0,0.5,1.02,1.53,0.52,79.71,0,1,0,0,1,332,458.12,332,0,0,0,0,Marketed Lead
44346993,0.687,2052.02,92.75,37.33,294.89,0,2987,510,2987,26.95,1.25,3.11,2,1.82,2.42,-0.18,934.98,0,1,0,0,1,2987,405.82,2987,4,2987,2987,804.89,Marketed Lead
44366195,0.5706,2056.55,221.97,105.45,153.95,1066,3852.92,0,3852.92,31.66,2.74,5.76,2.5,5.13,5.78,2.63,1547.37,0,1,0,0,1,3852.92,4046,3603.92,3,3852.92,3852.92,1219.95,Marketed Lead
43985711,0.6236,133.44,60.4,20.16,0,0,214,0,214,0,9.42,28.22,0.25,0.97,1.57,0.72,80.56,0,1,0,0,1,214,322.01,214,1,214,214,0,Marketed Lead
44295568,0,-5.52,0,5.52,0,0,0,0,0,0,0,0,0,0.27,0.4,0.27,5.52,0,1,0,0,0,0,99,0,0,0,0,0,Marketed Lead
44297999,0.7683,518.59,83.16,31.12,35.37,6.76,675,0,675,6.24,4.61,12.32,1,1.52,2.17,0.52,156.41,0,1,0,0,1,675,756.13,675,1,675,675,42.13,Marketed Lead
44298403,0.7338,471.59,100.43,43.16,27.53,0,642.7,0,642.7,4.28,6.71,15.63,1,2.1,2.62,1.1,171.12,0,1,0,0,1,642.7,713.65,642.7,1,642.7,642.7,27.53,Marketed Lead
44298642,0.5708,165.82,85.08,31.12,8.46,0,290.48,0,290.48,2.91,10.71,29.29,1.25,1.52,2.22,0.27,124.66,0,1,0,0,1,290.48,824.15,290.48,1,290.48,290.48,8.46,Marketed Lead
44413559,0.6399,751.29,157.46,69.26,112.74,83.25,1174,0,1174,0,0,0,2.25,3.47,4.25,1.22,422.71,0,1,0,0,1,1174,1625.72,1174,0,0,0,195.99,Marketed Lead
44414838,0,-66.98,55.01,11.97,0,0,0,0,0,0,0,0,0,0.58,1.43,0.58,66.98,0,1,0,0,0,0,99,0,0,0,0,0,Marketed Lead
44423158,0.8653,2800.31,177.82,88.02,170.25,0,3236.4,0,3236.4,4.11,2.13,4.29,3,4.28,4.63,1.28,436.09,0,1,0,0,1,3236.4,4213.33,3236.4,6,4141.8,3236.4,170.25,Marketed Lead
44425727,0.7517,1019.32,155.76,59.51,40.52,80.99,1356.1,0,1356.1,7.27,3.56,9.32,2,2.9,3.88,0.9,336.78,0,1,0,0,1,1356.1,1907.81,1356.1,2,1672.1,1356.1,121.51,Marketed Lead
44443514,0.8234,2196.6,131.77,61.56,277.67,0,2667.6,0,2667.6,10.41,2.31,4.94,3,3,3.43,0,471,0,1,0,0,1,2667.6,224.01,2667.6,1,2667.6,0,277.67,Marketed Lead
21-0166063,0.8332,1970.58,122.72,58.28,213.42,0,2365,0,2365,0,0,0,0,2.82,3.18,2.82,394.42,0,1,0,0,1,2365,413.38,2365,0,0,0,213.42,Marketed Lead
44355825,0.3734,18.3,0,30.7,0,0,49,0,49,0,0,0,0,1.48,2.25,1.48,30.7,0,1,0,0,0,49,99,49,1,0,0,0,Marketed Lead
44356468,0.8478,2015.02,166.95,55.14,139.78,0,2376.9,0,2376.9,5.88,2.32,7.02,2,2.68,4.35,0.68,361.88,0,1,0,0,1,2376.9,0,2376.9,3,2376.9,2376.9,139.78,Marketed Lead
44358131,0.7043,2517.87,483.74,14.25,0,559.14,3625,0,3575,0,0,0,0,8.02,11.8,10.1,1057.13,0,1,0,0,1,3575,4897.44,3575,1,0,0,559.14,Marketed Lead
44461062,0.4215,20.65,20.47,7.88,0,0,49,0,49,0,0,0,0,0.38,0.53,0.38,28.35,0,1,0,0,0,49,99,49,2,0,0,0,Marketed Lead
44476531,0.4263,94.55,93.39,33.86,0,0,271.8,0,221.8,0,0,0,0.75,1.65,2.43,0.9,127.25,0,1,0,0,1,221.8,409.34,221.8,0,0,0,0,Marketed Lead
44476817,0.4847,104.7,71.96,38.92,0.42,0,216,0,216,0.18,16.22,29.98,0.75,1.87,1.87,1.12,111.3,0,1,0,0,1,216,287.88,216,1,240,0,0.42,Marketed Lead
44483540,0.4565,161.6,137.7,54.28,0.42,0,354,0,354,0.12,15.33,38.9,1,2.72,3.72,1.72,192.4,0,1,0,0,1,354,464.33,354,2,354,354,0.42,Marketed Lead
44484362,0.0498,2.44,36.56,10,0,0,49,0,49,0,20.41,74.61,0,0.48,0.92,0.48,46.56,0,1,0,0,0,49,99,49,4,49,49,0,Marketed Lead
44490042,0.6579,1118.58,269.3,118.33,0,193.89,1700.1,0,1700.1,0,0,0,1,5.77,7.02,4.77,581.52,0,1,0,0,1,1700.1,2395.88,1700.1,0,0,0,193.89,Marketed Lead
44415221,0.1355,6.64,35.18,7.18,0,0,49,0,49,0,0,0,0,0.35,0.92,0.35,42.36,0,1,0,0,0,49,99,49,2,0,0,0,Marketed Lead
44420737,0.7189,342.78,89.56,44.46,0,0,476.8,0,476.8,0,5.86,11.81,1.5,2.17,2.33,0.67,134.02,0,1,0,0,1,476.8,596.67,476.8,2,758.5,178,0,Marketed Lead
44423409,0.713,632.47,176.61,77.92,0,0,887,0,887,0,0,0,2.25,3.9,4.5,1.65,254.53,0,1,0,0,1,887,1444.1,887,0,0,0,0,Marketed Lead
44442899,0.6542,97.15,39.02,12.33,0,0,148.5,0,148.5,0,8.3,26.28,0.25,0.6,1.02,0.35,51.35,0,1,0,0,0,148.5,223.01,148.5,1,148.5,148.5,0,Marketed Lead
44447252,0.572,463.3,138.81,64.64,143.25,0,810,0,810,7.26,3.27,7.03,0,3.15,3.62,3.15,346.7,0,1,0,0,1,810,3388.9,810,1,1973.7,810,143.25,Marketed Lead
21-0166081,-1.1015,-53.97,67.8,35.17,0,0,49,0,49,0,0,0,0,1.7,2.17,1.7,102.97,0,1,0,0,0,49,99,49,1,0,0,0,Marketed Lead
21-0166092,0,-37.52,28.27,9.25,0,0,0,0,0,0,0,0,0,0.45,0.73,0.45,37.52,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
21-0166124,0.6192,30.34,12.15,6.51,0,0,49,0,49,0,13.28,24.8,0,0.32,0.32,0.32,18.66,0,1,0,0,0,49,99,49,3,49,49,0,Marketed Lead
21-0166156,0.8507,419.39,43.97,29.64,0,0,493,0,493,0,0,0,1,1.48,2.1,0.48,73.61,0,1,0,0,1,493,543,493,0,0,0,0,Marketed Lead
27237614,0.9283,763.1,38.38,20.52,0,0,822,0,822,0,0,0,1.75,1,1,-0.75,58.9,0,1,0,0,1,822,1142.33,822,0,0,0,0,Marketed Lead
28392103,0,-190.71,87.63,38.65,0,64.43,0,0,0,0,0,0,0,1.88,2.28,1.88,190.71,0,0,1,0,0,0,0,0,0,0,0,64.43,Marketed Lead
28461902,0.8139,595.76,81.88,31.46,22.9,0,732,0,732,3.13,4.3,11.19,1.25,1.53,2.13,0.28,136.24,0,1,0,0,1,732,1022.98,732,1,732,732,22.9,Marketed Lead
28461934,0.7359,929.42,116.42,54.38,162.79,0,1313,0,1263,0,0,0,2.25,2.65,3.03,0.4,333.58,0,1,0,0,1,1263,1864.44,1263,0,0,0,162.79,Marketed Lead
44490485,0.6733,110.42,40.47,13.11,0,0,214,0,164,0,0,0,0.25,0.63,1.05,0.38,53.58,0,1,0,0,1,164,322.01,164,0,0,0,0,Marketed Lead
44494365,0.8313,602.27,51.17,21.2,49.86,0,724.5,0,724.5,6.88,2.93,7.06,1.25,1.03,1.33,-0.22,122.23,0,1,0,0,1,724.5,1088.13,724.5,1,724.5,724.5,49.86,Marketed Lead
44500345,0.8791,584.58,0,51.75,28.67,0,665,0,665,0,0,0,1.5,2.5,3.22,1,80.42,0,1,0,0,1,665,1042.45,665,0,0,0,28.67,Marketed Lead
44502160,0.742,608.34,122.81,56.86,31.89,0,819.9,0,819.9,3.89,6.94,14.99,1.75,2.77,3.2,1.02,211.56,0,1,0,0,1,819.9,1134.52,819.9,3,819.1,819.1,31.89,Marketed Lead
44503932,0.6627,379.05,87.64,42.47,62.84,0,572,0,572,10.99,7.42,15.32,1,2.07,2.28,1.07,192.95,0,1,0,0,1,572,916.24,572,4,572,572,62.84,Marketed Lead
44450049,0.6641,239.67,76.76,30.1,14.37,0,360.9,0,360.9,3.98,8.34,21.27,1,1.47,2,0.47,121.23,0,1,0,0,1,360.9,224.01,360.9,1,360.9,360.9,14.37,Marketed Lead
44452091,0.7508,654.74,151.29,65.55,0.42,0,872,0,872,0.05,7.52,17.35,2,3.17,3.78,1.17,217.26,0,1,0,0,1,872,1293.88,872,3,872,872,0.42,Marketed Lead
44466929,-0.1781,-8.73,40.13,17.6,0,0,49,0,49,0,0,0,0,0.85,1.08,0.85,57.73,0,1,0,0,1,49,99,49,0,0,0,0,Marketed Lead
44483343,0.695,387.2,56.93,19.15,93.82,0,557.1,0,557.1,16.84,3.44,10.22,1.25,0.93,1.48,-0.32,169.9,0,1,0,0,1,557.1,845.94,557.1,1,557.1,557.1,93.82,Marketed Lead
44489993,0.8331,653.78,75.48,34.2,21.34,0,884.8,0,784.8,2.72,4.36,9.62,2.5,1.67,1.97,-0.83,131.02,0,1,0,0,1,784.8,1219.6,784.8,1,784.8,784.8,21.34,Marketed Lead
44491899,0.3054,14.96,29.55,4.49,0,0,49,0,49,0,0,0,0,0.22,0.77,0.22,34.04,0,1,0,0,0,49,99,49,0,0,0,0,Marketed Lead
39510914,0.8719,4444,241.8,116.45,294.75,0,5097,0,5097,0,0,0,5.25,5.67,6.3,0.42,653,0,1,0,0,1,5097,6369,5097,1,0,0,294.75,Marketed Lead
39519506,0.6606,1020.63,222.92,85.91,0,215.55,1595,0,1545,0,0,0,2.25,4.15,5.88,1.9,524.38,0,1,0,0,1,1545,1759.11,1545,0,0,0,215.55,Marketed Lead
39522478,0.9283,522.66,0,37.26,3.08,0,563,0,563,0,0,0,1.75,1.8,2.47,0.05,40.34,0,1,0,0,1,563,961.25,563,0,0,0,3.08,Marketed Lead
43526836,0,-101.92,65.89,34.54,1.48,0,0,0,0,0,0,0,0,1.68,1.72,1.68,101.92,0,0,1,0,0,0,0,0,1,0,0,1.48,Marketed Lead
43528758,0.6633,159.19,58.21,22.61,0,0,240,0,240,0,0,0,0.5,1.1,1.52,0.6,80.82,0,1,0,0,1,240,161,240,1,0,0,0,Marketed Lead
43971874,0.5723,373.72,183.59,85.97,9.73,0,703,0,653,1.49,13.17,28.11,2,4.18,4.78,2.18,279.28,0,1,0,0,1,653,834,653,3,653,653,9.73,Marketed Lead
44524823,0.7196,536.83,45.42,19.18,144.57,0,746,0,746,19.38,2.57,6.09,0.75,0.93,1.18,0.18,209.17,0,1,0,0,1,746,2016.83,746,1,746,386,144.57,Marketed Lead
44543346,0.6294,1013.31,98.3,37.53,187.68,273.18,1610,0,1610,28.64,2.33,6.11,3,1.8,2.55,-1.2,596.69,0,1,0,0,1,1610,2820.18,1610,1,1609.2,1609.2,460.86,Marketed Lead
44557152,0.8537,233.9,0,39.68,0.42,0,274,0,274,0,0,0,1,1.92,3.05,0.92,40.1,0,1,0,0,1,274,365.33,274,0,0,0,0.42,Marketed Lead
44567682,0,-77.3,53.32,23.98,0,0,0,0,0,0,0,0,0,1.15,1.38,1.15,77.3,0,1,0,0,0,0,0,0,1,0,0,0,Marketed Lead
44663803,0.7361,605.04,112.39,48.3,0,56.27,822,0,822,0,0,0,2.25,2.33,3.03,0.08,216.96,0,1,0,0,1,822,1072.95,822,0,0,0,56.27,Marketed Lead
44666484,0.6496,1047.99,126.65,57.8,380.81,0,1613.25,0,1613.25,0,0,0,2,2.82,3.3,0.82,565.26,0,1,0,0,1,1613.25,2419.81,1613.25,0,0,0,380.81,Marketed Lead
44525960,0.8264,185.12,26.23,12.65,0,0,224,0,224,0,0,0,0.5,0.62,0.68,0.12,38.88,0,1,0,0,1,224,451.73,224,0,0,0,0,Marketed Lead
44561799,0.8738,1392.48,127.93,59.17,0,14.02,1643.6,0,1593.6,0.85,3.6,7.78,2.5,2.88,3.33,0.38,201.12,0,1,0,0,1,1593.6,2284.85,1593.6,2,1643.6,1643.6,14.02,Marketed Lead
44567665,0.7186,227.06,63.97,24.97,0,0,316,0,316,0,7.9,20.24,0.5,1.22,1.67,0.72,88.94,0,1,0,0,1,316,260,316,2,316,316,0,Marketed Lead
44580465,0.4873,140.82,104.36,43.82,0,0,289,0,289,0,0,0,0.75,2.12,2.82,1.37,148.18,0,1,0,0,1,289,386.88,289,0,0,0,0,Marketed Lead
44585645,0,-71.42,60.13,11.29,0,0,0,0,0,0,0,0,0,0.55,1.57,0.55,71.42,0,0,0,0,0,0,99,0,2,0,0,0,Marketed Lead
44598156,0.8851,255.81,0,32.77,0.42,0,289,0,289,0,0,0,0.75,1.58,2.4,0.83,33.19,0,1,0,0,1,289,386.88,289,0,0,0,0.42,Marketed Lead
44615547,0.0315,3.04,55.65,23.98,13.94,0,96.61,0,96.61,3.16,5.44,12.62,0.75,1.17,1.45,0.42,93.57,0,1,0,0,0,96.61,601.75,96.61,1,441,441,13.94,Marketed Lead
44645659,0.6843,423.56,65.88,29.11,100.45,0,619,0,619,16.23,4.7,10.64,1.25,1.42,1.72,0.17,195.44,0,1,0,0,1,619,944.94,619,3,619,619,100.45,Marketed Lead
44656241,0.798,1027.51,165.67,71.93,22.5,0,1287.6,0,1287.6,1.08,3.45,7.95,1,3.5,4.32,2.5,260.09,0,1,0,0,1,1287.6,1661.16,1287.6,3,2084.7,1287.6,22.5,Marketed Lead
44673035,0.7295,1087.66,264.21,123.45,15.68,0,1541,0,1491,1.09,8.56,18.32,2,5.97,6.42,3.97,403.34,0,1,0,0,1,1491,2213.99,1491,3,1442,0,15.68,Marketed Lead
44687143,0.7677,381.54,68.45,31.51,15.5,0,497,0,497,1.47,3,6.51,0.75,1.53,1.78,0.78,115.46,0,1,0,0,1,497,704.78,497,3,1052,497,15.5,Marketed Lead
44690608,0.708,282.33,56.93,26.68,32.86,0,398.8,0,398.8,8.24,6.69,14.28,0.5,1.3,1.48,0.8,116.47,0,1,0,0,1,398.8,458.12,398.8,1,398.8,398.8,32.86,Marketed Lead
44693098,0.7648,1133.01,212.7,97.93,37.86,0,1481.5,0,1481.5,2.56,6.61,14.36,0,4.73,5.33,4.73,348.49,0,1,0,0,1,1481.5,2077.35,1481.5,3,1481.5,0,37.86,Marketed Lead
44694795,0.7164,338.15,80.42,40.69,12.74,0,472,0,472,2.43,7.75,15.32,1,1.97,2.02,0.97,133.85,0,1,0,0,1,472,715.77,472,1,525,525,12.74,Marketed Lead
44671857,0,-213.95,178.13,32.41,3.41,0,0,0,0,0,0,0,0,1.57,2.23,1.57,213.95,0,0,1,0,0,0,0,0,2,0,0,3.41,Marketed Lead
44682421,0.8798,467.2,0,32.77,31.03,0,531,0,531,0,0,0,0.75,1.58,2.82,0.83,63.8,0,1,0,0,1,531,754.57,531,0,0,0,31.03,Marketed Lead
44688369,0.8969,246.21,0,28.29,0,0,274.5,0,274.5,0,0,0,1,1.37,2.03,0.37,28.29,0,1,0,0,1,274.5,365.33,274.5,0,0,0,0,Marketed Lead
44689139,0,-241.15,132.35,51.41,0,57.39,0,0,0,0,0,0,0,2.48,3.43,2.48,241.15,0,0,1,0,0,0,0,0,0,0,0,57.39,Marketed Lead
44716330,0.8907,244.49,0,30.02,0,0,274.5,0,274.5,0,0,0,1,1.45,2.07,0.45,30.02,0,1,0,0,1,274.5,365.33,274.5,0,0,0,0,Marketed Lead
44868203,0,-37.72,33.27,4.45,0,0,0,0,0,0,0,0,0,0.22,0.87,0.22,37.72,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
44868453,0.7562,169.38,40.94,13.68,0,0,224,0,224,0,0,0,0.5,0.67,1.07,0.17,54.62,0,1,0,0,1,224,451.73,224,0,0,0,0,Marketed Lead
