customer ID,real event,real date,predicted event,predicted date
676,reactivate subscription,2023-06-10,reactivate subscription,2023-06-10
1023,change subscription,2023-06-13,change subscription,2023-06-14
2953,reactivate subscription,2023-06-10,reactivate subscription,2023-06-11
3365,change subscription,2023-06-08,new subscription,2023-06-11
544,change subscription,2023-06-21,change subscription,2023-06-21
3372,new subscription,2023-06-23,new subscription,2023-06-23
1828,new subscription,2023-06-21,new subscription,2023-06-21
3814,new subscription,2023-06-07,new subscription,2023-06-10
1239,new subscription,2023-06-17,new subscription,2023-06-17
3517,change subscription,2023-06-11,change subscription,2023-06-11
2464,new subscription,2023-07-01,new subscription,2023-07-01
3285,change subscription,2023-06-11,change subscription,2023-06-14
1285,change subscription,2023-06-14,change subscription,2023-06-12
13531,new subscription,2023-06-06,change subscription,2023-06-10
3084,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
1530,pause subscription,2023-06-14,pause subscription,2023-06-14
607,reactivate subscription,2023-06-18,reactivate subscription,2023-06-18
3117,change subscription,2023-06-06,change subscription,2023-06-20
963,pause subscription,2023-07-06,pause subscription,2023-07-06
173,new subscription,2023-07-01,new subscription,2023-07-01
10851,reactivate subscription,2023-07-02,reactivate subscription,2023-07-02
1447,new subscription,2023-06-10,change subscription,2023-06-11
3066,change subscription,2023-06-26,change subscription,2023-06-26
2730,new subscription,2023-06-27,new subscription,2023-06-27
412,pause subscription,2023-07-05,pause subscription,2023-07-05
2290,change subscription,2023-06-11,change subscription,2023-06-14
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
1765,pause subscription,2023-06-11,pause subscription,2023-07-06
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-05
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
11440,cancel subscription,2023-06-18,cancel subscription,2023-06-18
1292,pause subscription,2023-06-13,new subscription,2023-06-10
1828,new subscription,2023-06-21,new subscription,2023-06-21
13190,cancel subscription,2023-06-06,new subscription,2023-06-07
2329,change subscription,2023-06-18,change subscription,2023-06-15
3739,new subscription,2023-06-13,new subscription,2023-06-13
13189,pause subscription,2023-06-15,pause subscription,2023-06-15
11704,reactivate subscription,2023-06-07,reactivate subscription,2023-06-07
607,reactivate subscription,2023-06-18,reactivate subscription,2023-06-18
1842,new subscription,2023-06-11,new subscription,2023-06-12
2313,pause subscription (failed payment),2023-06-11,pause subscription (failed payment),2023-06-11
3566,change subscription,2023-06-12,pause subscription,2023-06-19
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
12022,reactivate subscription,2023-06-08,reactivate subscription,2023-07-06
10224,change subscription,2023-07-05,change subscription,2023-07-05
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
3726,reactivate subscription,2023-06-10,reactivate subscription,2023-06-10
11929,pause subscription,2023-06-09,pause subscription,2023-06-08
13464,pause subscription,2023-06-13,pause subscription,2023-06-13
1959,new subscription,2023-06-08,new subscription,2023-06-09
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-05
10346,new subscription,2023-06-12,new subscription,2023-06-07
2871,cancel subscription,2023-06-08,cancel subscription,2023-06-08
14132,new subscription,2023-06-06,change subscription,2023-06-18
13279,cancel subscription,2023-06-15,cancel subscription,2023-06-15
11793,pause subscription (failed payment),2023-06-11,pause subscription (failed payment),2023-06-11
2464,new subscription,2023-07-01,new subscription,2023-07-01
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
666,create customer,2023-06-06,change subscription,2023-06-15
14203,new subscription,2023-06-06,new subscription,2023-06-11
156,pause subscription,2023-06-06,pause subscription,2023-06-18
10853,pause subscription,2023-06-12,reactivate subscription,2023-06-09
2313,change subscription,2023-06-06,pause subscription,2023-06-17
758,reactivate subscription,2023-06-10,reactivate subscription,2023-06-08
521,change subscription,2023-06-09,cancel subscription,2023-06-09
3372,new subscription,2023-06-23,new subscription,2023-06-23
426,new subscription,2023-06-09,new subscription,2023-06-09
1585,change subscription,2023-06-20,change subscription,2023-06-20
11376,pause subscription (failed payment),2023-06-07,pause subscription (failed payment),2023-06-07
3375,pause subscription (failed payment),2023-06-06,pause subscription (failed payment),2023-06-06
2730,new subscription,2023-06-27,new subscription,2023-06-27
2129,change subscription,2023-06-11,change subscription,2023-06-14
2815,cancel subscription,2023-06-11,cancel subscription,2023-06-11
12740,cancel subscription,2023-06-12,cancel subscription,2023-06-12
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-06
963,pause subscription,2023-07-06,pause subscription,2023-07-06
3970,change subscription,2023-06-19,change subscription,2023-06-19
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
2794,change subscription,2023-06-20,change subscription,2023-06-20
3229,new subscription,2023-06-13,new subscription,2023-06-13
2800,cancel subscription,2023-06-12,cancel subscription,2023-06-08
12453,cancel subscription,2023-06-11,cancel subscription,2023-06-10
3778,pause subscription,2023-06-06,pause subscription (failed payment),2023-06-07
3673,new subscription,2023-06-10,new subscription,2023-06-11
1110,change subscription,2023-06-11,new subscription,2023-06-10
218,reactivate subscription,2023-06-09,reactivate subscription,2023-06-09
272,change subscription,2023-06-27,change subscription,2023-06-27
173,new subscription,2023-07-01,new subscription,2023-07-01
13139,cancel subscription,2023-06-07,cancel subscription,2023-06-07
11947,pause subscription,2023-06-29,pause subscription,2023-06-29
2148,reactivate subscription,2023-06-08,reactivate subscription,2023-06-08
2730,new subscription,2023-06-27,new subscription,2023-06-27
3946,pause subscription,2023-06-19,pause subscription,2023-06-19
11376,pause subscription (failed payment),2023-06-07,pause subscription (failed payment),2023-06-07
1040,pause subscription (failed payment),2023-06-06,pause subscription (failed payment),2023-06-11
3275,change subscription,2023-06-09,change subscription,2023-06-08
10189,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
2690,new subscription,2023-06-22,new subscription,2023-06-22
3739,new subscription,2023-06-13,new subscription,2023-06-13
437,change subscription,2023-06-14,change subscription,2023-06-20
607,reactivate subscription,2023-06-18,reactivate subscription,2023-06-18
1717,new subscription,2023-06-06,new subscription,2023-06-07
518,new subscription,2023-06-08,change subscription,2023-06-20
2215,new subscription,2023-06-07,change subscription,2023-06-15
2925,reactivate subscription,2023-06-10,reactivate subscription,2023-06-06
2014,reactivate subscription,2023-06-10,reactivate subscription,2023-06-11
3113,pause subscription (failed payment),2023-07-05,pause subscription (failed payment),2023-07-05
13045,cancel subscription,2023-06-06,new subscription,2023-06-27
13524,pause subscription,2023-06-07,pause subscription,2023-06-07
3527,cancel subscription,2023-06-11,cancel subscription,2023-06-08
2730,new subscription,2023-06-27,new subscription,2023-06-27
3204,change subscription,2023-06-16,change subscription,2023-06-16
11446,cancel subscription,2023-06-08,cancel subscription,2023-06-08
10336,reactivate subscription,2023-07-06,reactivate subscription,2023-07-06
551,new subscription,2023-06-09,new subscription,2023-06-09
2455,change subscription,2023-06-15,change subscription,2023-06-13
947,change subscription,2023-06-19,change subscription,2023-06-19
2154,change subscription,2023-06-16,change subscription,2023-06-16
412,change subscription,2023-06-18,new subscription,2023-06-11
11356,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
4413,change subscription,2023-06-09,new subscription,2023-06-11
741,reactivate subscription,2023-06-12,reactivate subscription,2023-06-12
764,change subscription,2023-06-21,change subscription,2023-06-21
1320,reactivate subscription,2023-06-09,change subscription,2023-06-14
2005,pause subscription,2023-06-11,pause subscription,2023-06-11
12219,cancel subscription,2023-06-12,cancel subscription,2023-06-06
2946,change subscription,2023-06-06,change subscription,2023-06-18
10252,change subscription,2023-07-05,change subscription,2023-07-05
363,new subscription,2023-06-09,new subscription,2023-06-10
447,new subscription,2023-06-07,new subscription,2023-06-09
1727,change subscription,2023-06-26,change subscription,2023-06-26
1727,change subscription,2023-06-26,change subscription,2023-06-26
668,change subscription,2023-06-27,change subscription,2023-06-27
13279,cancel subscription,2023-06-15,cancel subscription,2023-06-15
11366,pause subscription,2023-06-12,pause subscription,2023-06-12
120,new subscription,2023-06-06,new subscription,2023-06-11
758,reactivate subscription,2023-06-08,reactivate subscription,2023-06-08
11988,cancel subscription,2023-06-06,cancel subscription,2023-06-06
2464,new subscription,2023-07-01,new subscription,2023-07-01
10308,reactivate subscription,2023-06-06,reactivate subscription,2023-06-08
330,new subscription,2023-06-11,new subscription,2023-06-11
1394,reactivate subscription,2023-07-03,reactivate subscription,2023-07-03
1828,new subscription,2023-06-21,new subscription,2023-06-21
13356,cancel subscription,2023-06-20,cancel subscription,2023-06-20
3527,cancel subscription,2023-06-11,cancel subscription,2023-06-08
11438,cancel subscription,2023-06-09,cancel subscription,2023-06-08
3821,change subscription,2023-06-15,change subscription,2023-06-08
3191,new subscription,2023-06-09,new subscription,2023-06-13
11440,cancel subscription,2023-06-18,cancel subscription,2023-06-18
1830,pause subscription,2023-06-13,pause subscription,2023-06-12
10336,reactivate subscription,2023-07-06,reactivate subscription,2023-07-06
297,change subscription,2023-06-06,change subscription,2023-06-11
1568,change subscription,2023-06-13,change subscription,2023-06-16
2282,change subscription,2023-06-10,change subscription,2023-06-17
13755,new subscription,2023-06-06,cancel subscription,2023-06-09
3739,new subscription,2023-06-13,new subscription,2023-06-13
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
645,pause subscription,2023-06-12,pause subscription,2023-06-09
11712,pause subscription,2023-06-18,pause subscription,2023-06-18
3113,pause subscription (failed payment),2023-07-05,pause subscription (failed payment),2023-07-05
3113,pause subscription (failed payment),2023-07-05,pause subscription (failed payment),2023-07-05
3415,change subscription,2023-06-15,change subscription,2023-06-13
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-06
12978,pause subscription,2023-06-08,cancel subscription,2023-06-12
10851,reactivate subscription,2023-07-02,reactivate subscription,2023-07-02
12627,reactivate subscription,2023-06-07,reactivate subscription,2023-06-07
3739,new subscription,2023-06-13,new subscription,2023-06-13
2929,new subscription,2023-06-07,change subscription,2023-06-06
3781,change subscription,2023-06-06,change subscription,2023-06-08
272,change subscription,2023-06-27,change subscription,2023-06-27
2177,new subscription,2023-06-07,new subscription,2023-06-06
2490,change subscription,2023-06-12,change subscription,2023-06-13
3338,cancel subscription,2023-06-12,cancel subscription,2023-06-11
3229,new subscription,2023-06-13,new subscription,2023-06-13
4004,change subscription,2023-06-08,change subscription,2023-06-08
2953,reactivate subscription,2023-06-10,reactivate subscription,2023-06-11
11251,pause subscription,2023-06-18,pause subscription,2023-06-18
11251,pause subscription,2023-06-18,pause subscription,2023-06-18
173,new subscription,2023-07-01,new subscription,2023-07-01
3415,cancel subscription,2023-06-11,cancel subscription,2023-06-09
13356,cancel subscription,2023-06-20,cancel subscription,2023-06-20
1686,change subscription,2023-06-11,change subscription,2023-06-14
3648,change subscription,2023-06-21,change subscription,2023-06-21
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-06
1727,change subscription,2023-06-26,change subscription,2023-06-26
1994,reactivate subscription,2023-06-12,reactivate subscription,2023-06-12
3784,cancel subscription,2023-06-12,cancel subscription,2023-06-12
12024,pause subscription,2023-06-07,pause subscription,2023-06-09
3113,pause subscription (failed payment),2023-07-05,pause subscription (failed payment),2023-07-05
334,new subscription,2023-06-07,new subscription,2023-06-22
2313,pause subscription (failed payment),2023-06-11,pause subscription (failed payment),2023-06-11
3440,reactivate subscription,2023-06-12,reactivate subscription,2023-06-11
3739,new subscription,2023-06-13,new subscription,2023-06-13
2462,new subscription,2023-06-12,new subscription,2023-06-12
2689,change subscription,2023-06-20,change subscription,2023-06-20
848,cancel subscription,2023-07-04,cancel subscription,2023-07-04
2780,pause subscription,2023-06-15,pause subscription,2023-06-15
741,pause subscription,2023-06-06,pause subscription,2023-06-06
972,pause subscription,2023-07-03,pause subscription,2023-07-03
795,change subscription,2023-06-06,change subscription,2023-06-06
13464,pause subscription,2023-06-13,pause subscription,2023-06-13
13361,pause subscription,2023-06-12,pause subscription,2023-06-12
2219,change subscription,2023-06-10,change subscription,2023-06-20
218,change subscription,2023-06-06,new subscription,2023-06-07
13730,new subscription,2023-06-06,new subscription,2023-06-06
1156,change subscription,2023-06-10,change subscription,2023-06-13
13279,cancel subscription,2023-06-15,cancel subscription,2023-06-15
10223,change subscription,2023-07-05,cancel subscription,2023-06-20
3728,change subscription,2023-06-19,change subscription,2023-06-19
3528,new subscription,2023-06-12,cancel subscription,2023-06-09
308,change subscription,2023-06-21,change subscription,2023-06-21
1718,reactivate subscription,2023-06-08,reactivate subscription,2023-06-06
1557,cancel subscription,2023-06-06,cancel subscription,2023-06-09
666,create customer,2023-06-07,create customer,2023-06-07
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
1828,new subscription,2023-06-21,new subscription,2023-06-21
1394,reactivate subscription,2023-07-03,reactivate subscription,2023-07-03
11251,pause subscription,2023-06-18,pause subscription,2023-06-18
11376,pause subscription (failed payment),2023-06-07,pause subscription (failed payment),2023-06-07
2441,change subscription,2023-06-08,change subscription,2023-06-12
38,reactivate subscription,2023-06-08,reactivate subscription,2023-06-12
11694,cancel subscription,2023-06-08,cancel subscription,2023-07-04
3121,change subscription,2023-06-07,change subscription,2023-06-20
1589,change subscription,2023-06-10,cancel subscription,2023-06-10
2730,new subscription,2023-06-27,new subscription,2023-06-27
2313,pause subscription (failed payment),2023-06-11,pause subscription (failed payment),2023-06-11
11376,pause subscription (failed payment),2023-06-07,pause subscription (failed payment),2023-06-07
1718,pause subscription (failed payment),2023-06-06,pause subscription (failed payment),2023-06-06
11251,pause subscription,2023-06-18,pause subscription,2023-06-18
3084,pause subscription (failed payment),2023-06-06,pause subscription (failed payment),2023-06-06
13439,pause subscription,2023-06-06,cancel subscription,2023-06-06
178,change subscription,2023-06-19,change subscription,2023-06-19
1471,pause subscription,2023-07-04,pause subscription,2023-07-04
12181,pause subscription,2023-06-25,pause subscription,2023-06-25
11947,pause subscription,2023-06-29,pause subscription,2023-06-29
2082,change subscription,2023-06-09,change subscription,2023-06-09
11350,pause subscription,2023-06-06,pause subscription,2023-06-14
2594,change subscription,2023-06-16,pause subscription,2023-06-19
3537,cancel subscription,2023-06-07,change subscription,2023-06-17
2513,pause subscription,2023-06-11,pause subscription,2023-06-08
1530,pause subscription,2023-06-14,pause subscription,2023-06-14
1308,change subscription,2023-06-21,change subscription,2023-06-21
3638,cancel subscription,2023-07-05,cancel subscription,2023-07-06
10252,change subscription,2023-07-05,change subscription,2023-07-05
607,reactivate subscription,2023-06-18,reactivate subscription,2023-06-18
10072,new subscription,2023-06-10,new subscription,2023-06-13
1614,change subscription,2023-06-08,change subscription,2023-06-08
2640,cancel subscription,2023-06-09,cancel subscription,2023-07-04
2953,reactivate subscription,2023-06-10,pause subscription,2023-06-09
1874,new subscription,2023-06-23,new subscription,2023-06-23
3951,change subscription,2023-06-15,change subscription,2023-06-11
801,pause subscription,2023-07-05,pause subscription,2023-07-05
11846,cancel subscription,2023-06-12,cancel subscription,2023-06-10
2156,change subscription,2023-06-12,cancel subscription,2023-06-06
202,new subscription,2023-06-10,change subscription,2023-06-14
10853,pause subscription,2023-06-12,reactivate subscription,2023-06-09
1828,new subscription,2023-06-21,new subscription,2023-06-21
11542,cancel subscription,2023-06-10,cancel subscription,2023-06-10
10819,pause subscription,2023-06-13,pause subscription,2023-06-13
11786,reactivate subscription,2023-06-11,reactivate subscription,2023-06-11
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-05
11947,pause subscription,2023-06-29,pause subscription,2023-06-29
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
12049,reactivate subscription,2023-06-08,pause subscription,2023-06-10
10467,pause subscription,2023-06-11,pause subscription,2023-06-09
342,change subscription,2023-06-13,change subscription,2023-06-14
997,new subscription,2023-06-12,new subscription,2023-06-12
3537,cancel subscription,2023-06-07,change subscription,2023-06-17
3471,pause subscription,2023-06-09,pause subscription,2023-06-11
10224,change subscription,2023-07-05,change subscription,2023-07-05
13356,cancel subscription,2023-06-20,cancel subscription,2023-06-20
12022,pause subscription,2023-06-09,pause subscription,2023-06-08
10118,new subscription,2023-06-11,new subscription,2023-06-09
3638,cancel subscription,2023-07-05,cancel subscription,2023-07-06
2240,change subscription,2023-06-15,change subscription,2023-06-08
30,change subscription,2023-06-15,change subscription,2023-06-15
1394,reactivate subscription,2023-07-03,reactivate subscription,2023-07-03
3864,change subscription,2023-06-13,change subscription,2023-06-14
3084,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
781,change subscription,2023-06-14,cancel subscription,2023-06-06
931,pause subscription,2023-06-08,pause subscription,2023-06-08
11784,pause subscription (failed payment),2023-06-06,pause subscription,2023-07-06
13279,cancel subscription,2023-06-15,cancel subscription,2023-06-15
12076,pause subscription,2023-06-11,pause subscription,2023-06-16
11712,pause subscription,2023-06-18,pause subscription,2023-06-18
668,change subscription,2023-06-27,change subscription,2023-06-27
972,pause subscription,2023-07-03,pause subscription,2023-07-03
2841,pause subscription,2023-06-09,pause subscription,2023-06-12
13182,pause subscription,2023-06-17,pause subscription,2023-06-17
11856,cancel subscription,2023-06-11,cancel subscription,2023-06-19
2177,new subscription,2023-06-07,change subscription,2023-06-12
1649,new subscription,2023-06-06,new subscription,2023-06-12
11976,cancel subscription,2023-06-19,cancel subscription,2023-06-19
3159,cancel subscription,2023-06-12,cancel subscription,2023-06-08
3430,cancel subscription,2023-06-11,cancel subscription,2023-06-10
2648,change subscription,2023-06-07,change subscription,2023-06-10
2307,pause subscription,2023-07-05,pause subscription,2023-07-05
11947,pause subscription,2023-06-29,pause subscription,2023-06-29
406,change subscription,2023-06-16,cancel subscription,2023-06-09
458,new subscription,2023-06-09,change subscription,2023-06-18
3077,reactivate subscription,2023-06-08,reactivate subscription,2023-06-08
13279,cancel subscription,2023-06-15,cancel subscription,2023-06-15
801,pause subscription,2023-07-05,pause subscription,2023-07-05
240,reactivate subscription,2023-06-07,reactivate subscription,2023-06-07
666,create customer,2023-06-07,create customer,2023-06-07
963,pause subscription,2023-07-06,pause subscription,2023-07-06
12181,pause subscription,2023-06-25,pause subscription,2023-06-25
2561,cancel subscription,2023-07-06,cancel subscription,2023-07-06
3632,pause subscription,2023-06-16,pause subscription,2023-06-16
2785,new subscription,2023-06-11,change subscription,2023-06-07
4027,new subscription,2023-06-12,new subscription,2023-06-12
d7daadc4cf174d81b3b83730fc5a2e0f,new subscription,2023-06-06,create customer,2023-06-06
11940,reactivate subscription,2023-06-06,reactivate subscription,2023-06-08
13189,pause subscription,2023-06-15,pause subscription,2023-06-15
3084,reactivate subscription,2023-06-06,pause subscription (failed payment),2023-06-06
848,cancel subscription,2023-07-04,cancel subscription,2023-07-04
3372,new subscription,2023-06-23,new subscription,2023-06-23
1774,change subscription,2023-06-07,change subscription,2023-06-16
597,change subscription,2023-06-14,change subscription,2023-06-14
3066,change subscription,2023-06-26,change subscription,2023-06-26
10159,cancel subscription,2023-06-12,cancel subscription,2023-06-10
2444,change subscription,2023-06-09,create customer,2023-06-06
11704,reactivate subscription,2023-06-07,reactivate subscription,2023-06-07
2979,new subscription,2023-06-11,new subscription,2023-06-11
382,change subscription,2023-06-15,change subscription,2023-06-21
2947,pause subscription,2023-06-14,pause subscription,2023-06-14
496,new subscription,2023-06-26,new subscription,2023-06-26
3937,cancel subscription,2023-06-09,cancel subscription,2023-07-05
2730,new subscription,2023-06-27,new subscription,2023-06-27
2730,new subscription,2023-06-27,new subscription,2023-06-27
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
3451,pause subscription,2023-06-07,pause subscription,2023-06-08
209,change subscription,2023-06-19,change subscription,2023-06-19
2690,new subscription,2023-06-22,new subscription,2023-06-22
1412,change subscription,2023-06-07,change subscription,2023-06-11
1869,change subscription,2023-06-06,change subscription,2023-06-14
10819,pause subscription,2023-06-13,pause subscription,2023-06-13
518,new subscription,2023-06-08,change subscription,2023-06-08
2464,new subscription,2023-07-01,new subscription,2023-07-01
1040,reactivate subscription,2023-06-08,pause subscription (failed payment),2023-06-06
1292,pause subscription,2023-06-13,new subscription,2023-06-10
11976,cancel subscription,2023-06-19,cancel subscription,2023-06-19
3231,pause subscription,2023-06-06,pause subscription,2023-06-10
2248,pause subscription,2023-06-07,pause subscription,2023-06-17
12219,cancel subscription,2023-06-12,cancel subscription,2023-06-06
4019,change subscription,2023-06-06,change subscription,2023-06-14
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
11964,cancel subscription,2023-06-09,cancel subscription,2023-06-07
2780,pause subscription,2023-06-15,pause subscription,2023-06-15
2362,cancel subscription,2023-07-05,cancel subscription,2023-07-05
2319,pause subscription,2023-06-19,pause subscription,2023-06-19
2139,change subscription,2023-06-08,change subscription,2023-06-27
4010,change subscription,2023-06-07,change subscription,2023-06-17
391,pause subscription,2023-06-09,pause subscription,2023-06-10
12219,cancel subscription,2023-06-12,cancel subscription,2023-06-06
11136,reactivate subscription,2023-06-11,reactivate subscription,2023-06-11
801,pause subscription,2023-07-05,pause subscription,2023-07-05
13356,cancel subscription,2023-06-20,cancel subscription,2023-06-20
12010,pause subscription,2023-06-17,pause subscription,2023-06-17
666,create customer,2023-06-06,create customer,2023-06-06
3456,cancel subscription,2023-06-07,reactivate subscription,2023-06-06
806,new subscription,2023-06-10,new subscription,2023-06-10
3509,change subscription,2023-06-09,cancel subscription,2023-06-12
963,pause subscription,2023-07-06,pause subscription,2023-07-06
461,change subscription,2023-06-06,new subscription,2023-06-09
11994,pause subscription,2023-06-08,pause subscription,2023-06-10
2447,change subscription,2023-06-10,change subscription,2023-06-20
10308,change subscription,2023-06-09,cancel subscription,2023-06-06
3867,pause subscription,2023-06-11,pause subscription,2023-06-09
11440,cancel subscription,2023-06-18,cancel subscription,2023-06-18
134,new subscription,2023-06-10,new subscription,2023-06-11
972,pause subscription,2023-07-03,pause subscription,2023-07-03
11947,pause subscription,2023-06-29,pause subscription,2023-06-29
479,new subscription,2023-06-09,new subscription,2023-06-09
11251,pause subscription,2023-06-18,pause subscription,2023-06-18
3415,cancel subscription,2023-06-11,cancel subscription,2023-06-09
3729,new subscription,2023-06-06,change subscription,2023-06-19
2318,change subscription,2023-06-10,pause subscription (failed payment),2023-06-08
3084,reactivate subscription,2023-06-06,pause subscription (failed payment),2023-06-08
2977,pause subscription (failed payment),2023-07-03,pause subscription (failed payment),2023-07-03
3638,cancel subscription,2023-07-05,cancel subscription,2023-07-05
972,pause subscription,2023-07-03,pause subscription,2023-07-03
11366,pause subscription,2023-06-12,pause subscription,2023-06-12
607,reactivate subscription,2023-06-18,reactivate subscription,2023-06-18
1239,new subscription,2023-06-17,new subscription,2023-06-17
11324,reactivate subscription,2023-06-07,pause subscription,2023-06-07
1718,pause subscription (failed payment),2023-06-06,pause subscription (failed payment),2023-06-06
1394,reactivate subscription,2023-07-03,reactivate subscription,2023-07-03
3219,change subscription,2023-06-19,change subscription,2023-06-08
666,create customer,2023-06-06,create customer,2023-06-06
2362,cancel subscription,2023-07-05,cancel subscription,2023-07-05
1394,reactivate subscription,2023-07-03,reactivate subscription,2023-07-03
1828,new subscription,2023-06-21,new subscription,2023-06-21
1230,change subscription,2023-06-14,change subscription,2023-06-14
2313,pause subscription (failed payment),2023-06-11,pause subscription (failed payment),2023-06-11
2953,reactivate subscription,2023-06-10,change subscription,2023-06-18
11960,cancel subscription,2023-06-09,cancel subscription,2023-06-19
13166,pause subscription,2023-06-11,reactivate subscription,2023-07-06
11440,cancel subscription,2023-06-18,cancel subscription,2023-06-18
963,pause subscription,2023-07-06,pause subscription,2023-07-06
11132,reactivate subscription,2023-06-13,reactivate subscription,2023-06-13
2690,new subscription,2023-06-22,new subscription,2023-06-22
10336,reactivate subscription,2023-07-06,reactivate subscription,2023-07-06
2464,new subscription,2023-07-01,new subscription,2023-07-01
10336,reactivate subscription,2023-07-06,reactivate subscription,2023-07-06
272,change subscription,2023-06-27,change subscription,2023-06-27
11773,pause subscription,2023-06-08,pause subscription,2023-06-12
3765,change subscription,2023-06-16,change subscription,2023-06-06
45,change subscription,2023-06-13,change subscription,2023-06-14
272,change subscription,2023-06-27,change subscription,2023-06-27
11976,cancel subscription,2023-06-19,cancel subscription,2023-06-19
3229,new subscription,2023-06-13,new subscription,2023-06-13
1270,change subscription,2023-06-10,change subscription,2023-06-16
10203,change subscription,2023-06-19,change subscription,2023-06-20
875,cancel subscription,2023-06-11,cancel subscription,2023-06-09
1376,pause subscription,2023-06-12,pause subscription (failed payment),2023-06-06
13356,cancel subscription,2023-06-20,cancel subscription,2023-06-20
12181,pause subscription,2023-06-25,pause subscription,2023-06-25
12841,reactivate subscription,2023-06-06,reactivate subscription,2023-06-06
10336,reactivate subscription,2023-07-06,reactivate subscription,2023-07-06
2780,pause subscription,2023-06-15,pause subscription,2023-06-15
12181,pause subscription,2023-06-25,pause subscription,2023-06-25
1860,change subscription,2023-06-13,change subscription,2023-06-13
3084,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
2748,change subscription,2023-06-12,cancel subscription,2023-06-06
1830,pause subscription,2023-06-13,pause subscription,2023-06-12
10336,reactivate subscription,2023-07-06,reactivate subscription,2023-07-06
12761,pause subscription,2023-06-09,pause subscription,2023-06-09
3411,change subscription,2023-06-15,cancel subscription,2023-06-15
722,new subscription,2023-06-06,new subscription,2023-06-09
11440,cancel subscription,2023-06-18,cancel subscription,2023-06-18
848,cancel subscription,2023-07-04,cancel subscription,2023-07-04
741,pause subscription,2023-06-11,reactivate subscription,2023-06-09
2519,new subscription,2023-06-10,new subscription,2023-06-09
1728,pause subscription,2023-06-10,pause subscription,2023-06-16
11322,cancel subscription,2023-06-07,cancel subscription,2023-06-18
